rainfall,rainfall_3day,soil_moisture,slope,elevation,historical_landslides,risk
45,85,32,10,1200,0,0
60,110,38,12,1350,0,0
75,135,42,15,1100,0,0
90,160,48,18,1450,0,0
110,195,52,20,1300,0,0
125,220,57,22,1500,0,0
140,265,61,24,1400,1,1
155,290,65,26,1250,1,1
170,320,70,28,1350,1,1
185,355,74,30,1200,1,1
200,390,78,32,1100,1,1
215,420,82,35,1000,1,1
230,450,85,38,950,1,1
250,490,88,40,900,1,1
270,530,91,43,850,1,1
55,95,35,8,1600,0,0
70,120,40,13,1550,0,0
100,175,50,17,1500,0,0
130,230,58,21,1450,0,0
145,275,63,25,1400,1,1
165,310,68,27,1300,1,1
195,370,76,31,1150,1,1
225,435,84,36,1050,1,1
260,510,90,42,900,1,1
80,140,45,14,1700,0,0
115,205,55,19,1600,0,0
150,280,64,23,1500,1,1
180,340,72,29,1300,1,1
210,405,80,34,1100,1,1
240,470,87,39,1000,1,1
